Company,Origin,Ref,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,Latitude,Longitude
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5,Trinitario,Peru,-9.189967,-75.015152
Ambrosia,Belize,1494,2015,64%,Canada,3,Trinitario,Belize,56.130366,-106.346771
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar,56.130366,-106.346771
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25, ,Dominican Republic,56.130366,-106.346771
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25, ,Papua New Guinea,56.130366,-106.346771
Ambrosia,Venezuela,1498,2015,70%,Canada,3.25, ,Venezuela,56.130366,-106.346771
Ambrosia,Peru,1498,2015,68%,Canada,3.5, ,Peru,56.130366,-106.346771
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75, ,Peru,41.87194,12.56738
Amedei,Porcelana,111,2007,70%,Italy,4,Criollo (Porcelana),Venezuela,41.87194,12.56738
Amedei,Nine,111,2007,75%,Italy,4,Blend, ,41.87194,12.56738
Amedei,Chuao,111,2007,70%,Italy,5,Trinitario,Venezuela,41.87194,12.56738
Amedei,Ecuador,123,2007,70%,Italy,3,Trinitario,Ecuador,41.87194,12.56738
Amedei,Jamaica,123,2007,70%,Italy,3,Trinitario,Jamaica,41.87194,12.56738
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada,41.87194,12.56738
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela,41.87194,12.56738
Amedei,Madagascar,123,2007,70%,Italy,4,Trinitario (85% Criollo),Madagascar,41.87194,12.56738
Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinitario,Trinidad,41.87194,12.56738
Amedei,Toscano Black,170,2007,63%,Italy,3.5,Blend, ,41.87194,12.56738
Amedei,Toscano Black,40,2006,70%,Italy,5,Blend, ,41.87194,12.56738
Amedei,Toscano Black,75,2006,66%,Italy,4,Blend, ,41.87194,12.56738
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil,-14.235004,-51.92528
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4,Forastero (Parazinho),Brazil,-14.235004,-51.92528
Anahata,Elvesia,1259,2014,75%,U.S.A.,3, ,Dominican Republic,37.09024,-95.712891
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5, ,Bolivia,37.09024,-95.712891
Ara,Madagascar,1375,2014,75%,France,3,Trinitario,Madagascar,46.227638,2.213749
Ara,Chiapas,1379,2014,72%,France,2.5, ,Mexico,46.227638,2.213749
Ara,Equateur,1379,2014,75%,France,2.75, ,Ecuador,46.227638,2.213749
Ara,Trincheras,1379,2014,75%,France,3, ,Venezuela,46.227638,2.213749
Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinitario,Trinidad,37.09024,-95.712891
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75, ,Tanzania,37.09024,-95.712891
Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5,Trinitario,Vietnam,37.09024,-95.712891
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25, ,Ecuador,37.09024,-95.712891
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25, ,Ecuador,37.09024,-95.712891
Arete,Lachua,1904,2016,70%,U.S.A.,3.5, ,Guatemala,37.09024,-95.712891
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75, ,Nicaragua,37.09024,-95.712891
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.5, ,Honduras,37.09024,-95.712891
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4, ,Costa Rica,37.09024,-95.712891
Arete,Phantom,1924,2016,70%,U.S.A.,4,Forastero (Nacional),Peru,37.09024,-95.712891
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75, ,Dominican Republic,37.09024,-95.712891
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25, ,Fiji,37.09024,-95.712891
Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25, ,Vietnam,37.09024,-95.712891
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5, ,Brazil,37.09024,-95.712891
Arete,Nacional,1534,2015,68%,U.S.A.,3.5,Forastero (Nacional),Peru,37.09024,-95.712891
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador,37.09024,-95.712891
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5, ,Domincan Republic,37.09024,-95.712891
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize,37.09024,-95.712891
Arete,Chuno,1598,2015,70%,U.S.A.,4,"Criollo, Trinitario",Nicaragua,37.09024,-95.712891
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75, ,Brazil,37.09024,-95.712891
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25, ,Guatemala,37.09024,-95.712891
Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5, ,Ecuador,37.09024,-95.712891
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinitario,Trinidad,55.378051,-3.435973
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75, ,Colombia,55.378051,-3.435973
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4, ,Haiti,55.378051,-3.435973
Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75, ,Panama,55.378051,-3.435973
Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75, ,Venezuela,55.378051,-3.435973
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica,55.378051,-3.435973
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25, ,Costa Rica,55.378051,-3.435973
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Trinitario,Vietnam,55.378051,-3.435973
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5, ,Indonesia,55.378051,-3.435973
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2.5,"Criollo, Trinitario",Venezuela,55.378051,-3.435973
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia,55.378051,-3.435973
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75, ,Brazil,55.378051,-3.435973
Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3,"Criollo, Trinitario",Madagascar,55.378051,-3.435973
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3,Criollo,Peru,55.378051,-3.435973
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic,55.378051,-3.435973
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo,55.378051,-3.435973
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Trinitario,Colombia,55.378051,-3.435973
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania,37.09024,-95.712891
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania,37.09024,-95.712891
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras,37.09024,-95.712891
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines,37.09024,-95.712891
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico,37.09024,-95.712891
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3,Forastero (Arriba),Ecuador,37.09024,-95.712891
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25, , ,-25.274398,133.775136
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5, ,Papua New Guinea,-25.274398,133.775136
Bahen & Co.,Sambirano,995,2012,70%,Australia,3,Trinitario,Madagascar,-25.274398,133.775136
Bahen & Co.,Bahia,999,2012,70%,Australia,2.5, ,Brazil,-25.274398,133.775136
Bahen & Co.,Houseblend,999,2012,70%,Australia,2.5,Blend, ,-25.274398,133.775136
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75, ,Peru,-9.189967,-75.015152
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5, ,Peru,-9.189967,-75.015152
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5, ,Brazil,37.09024,-95.712891
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4,Forastero (Nacional),Peru,37.09024,-95.712891
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25, ,Dominican Republic,37.09024,-95.712891
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5, ,Mexico,37.09024,-95.712891
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,37.09024,-95.712891
Baravelli's,single estate,955,2012,80%,Wales,2.75, ,Costa Rica,52.1306607,-3.7837117
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5, ,Domincan Republic,37.09024,-95.712891
Batch,Brazil,1868,2016,70%,U.S.A.,3.75, ,Brazil,37.09024,-95.712891
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25, ,Ecuador,37.09024,-95.712891
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3, ,Malaysia,55.378051,-3.435973
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25, ,Malaysia,55.378051,-3.435973
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75, ,Brazil,37.09024,-95.712891
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75, ,Domincan Republic,37.09024,-95.712891
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75, ,Ecuador,37.09024,-95.712891
Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75, ,Ecuador,37.09024,-95.712891
Belcolade,Costa Rica,586,2010,64%,Belgium,2.75, ,Costa Rica,50.503887,4.469936
Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75, ,Papua New Guinea,50.503887,4.469936
Belcolade,Peru,586,2010,64%,Belgium,2.75, ,Peru,50.503887,4.469936
Belcolade,Ecuador,586,2010,71%,Belgium,3.5, ,Ecuador,50.503887,4.469936
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania,37.09024,-95.712891
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25, ,Bolivia,37.09024,-95.712891
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3.5, ,Domincan Republic,37.09024,-95.712891
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Trinitario,Belize,51.165691,10.451526
Belyzium,Belize south,1768,2016,78%,Germany,3,Trinitario,Belize,51.165691,10.451526
Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize,51.165691,10.451526
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5,Trinitario,Cuba,50.503887,4.469936
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5,Criollo,Venezuela,50.503887,4.469936
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5,Criollo,Venezuela,50.503887,4.469936
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4,Trinitario,Ecuador,50.503887,4.469936
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4,Trinitario,Indonesia,50.503887,4.469936
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar,50.503887,4.469936
Bernachon,Nature,797,2012,55%,France,2.75, , ,46.227638,2.213749
Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3,Trinitario,Madagascar,46.818188,8.227511999999999
Beschle (Felchlin),Maracaibo,636,2011,88%,Switzerland,3,Criollo,Venezuela,46.818188,8.227511999999999
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3.5, ,Venezuela,46.818188,8.227511999999999
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4, ,Ecuador,46.818188,8.227511999999999
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3.25,Trinitario,Venezuela,46.818188,8.227511999999999
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela,46.818188,8.227511999999999
Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3.5, ,Indonesia,46.818188,8.227511999999999
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3.5, ,Venezuela,46.818188,8.227511999999999
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.5, ,Nicaragua,37.09024,-95.712891
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.5, ,Costa Rica,37.09024,-95.712891
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.5, ,Costa Rica,37.09024,-95.712891
Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Trinitario,Belize,37.09024,-95.712891
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Forastero,Ghana,37.09024,-95.712891
Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3.25, ,Indonesia,37.09024,-95.712891
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali",37.09024,-95.712891
Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,2.75, ,Indonesia,37.09024,-95.712891
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3,Trinitario,Madagascar,37.09024,-95.712891
Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3,Criollo,Venezuela,37.09024,-95.712891
Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3, ,Dominican Republic,37.09024,-95.712891
Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.5, ,Dominican Republic,37.09024,-95.712891
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Trinitario,Madagascar,37.09024,-95.712891
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar,37.09024,-95.712891
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3,Trinitario,Madagascar,37.09024,-95.712891
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5, ,Panama,37.09024,-95.712891
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75, ,Dominican Republic,37.09024,-95.712891
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3,Forastero,Ghana,37.09024,-95.712891
Black Mountain,La Red,256,2008,70%,U.S.A.,2.75, ,Dominican Republic,37.09024,-95.712891
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Trinitario,Venezuela,37.09024,-95.712891
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3, ,Nicaragua,37.09024,-95.712891
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75,Trinitario,Jamaica,55.378051,-3.435973
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5,Forastero,Congo,40.46366700000001,-3.74922
Blanxart,Organic Dark,322,2009,72%,Spain,2.75, , ,40.46366700000001,-3.74922
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar,37.09024,-95.712891
Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75, ,Guatemala,37.09024,-95.712891
Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3.5, ,Tanzania,37.09024,-95.712891
Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3, ,Dominican Republic,37.09024,-95.712891
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5, ,Guatemala,37.09024,-95.712891
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,37.09024,-95.712891
Bonnat,Selva Maya,1912,2016,75%,France,3.5, ,Mexico,46.227638,2.213749
Bonnat,Kaori,1339,2014,75%,France,4, ,Brazil,46.227638,2.213749
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25, ,Dominican Republic,46.227638,2.213749
Bonnat,Surfin,1418,2014,65%,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex",46.227638,2.213749
Bonnat,Maragnam,1038,2013,75%,France,3.5, ,Brazil,46.227638,2.213749
Bonnat,Gabon,1042,2013,75%,France,3.25, ,Gabon,46.227638,2.213749
Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba,46.227638,2.213749
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5, ,Peru,46.227638,2.213749
Bonnat,Piura Blanco,629,2011,75%,France,3.5,Forastero (Nacional),Peru,46.227638,2.213749
Bonnat,Libanio,629,2011,75%,France,3.75, ,Brazil,46.227638,2.213749
Bonnat,Haiti,629,2011,75%,France,4, ,Haiti,46.227638,2.213749
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4,Criollo,Madagascar,46.227638,2.213749
Bonnat,Juliana,672,2011,75%,France,3.5, ,Brazil,46.227638,2.213749
Bonnat,Jamaique,761,2011,75%,France,3.25,Trinitario,Jamaica,46.227638,2.213749
Bonnat,Ivory Coast,331,2009,75%,France,3, ,Ivory Coast,46.227638,2.213749
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Criollo,Peru,46.227638,2.213749
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75%,France,3,Criollo,Mexico,46.227638,2.213749
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3,Criollo,Mexico,46.227638,2.213749
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4,Criollo (Porcelana),Venezuela,46.227638,2.213749
Bonnat,Equateur,123,2007,75%,France,2.5,Forastero (Arriba),Ecuador,46.227638,2.213749
Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean,46.227638,2.213749
Bonnat,"Ocumare, Puerto Cabello",32,2006,75%,France,4, ,Venezuela,46.227638,2.213749
Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4,Criollo,Venezuela,46.227638,2.213749
Bonnat,Madagascar,75,2006,75%,France,4,Trinitario,Madagascar,46.227638,2.213749
Bonnat,One Hundred,81,2006,100%,France,1.5, , ,46.227638,2.213749
Bonnat,Ceylan,81,2006,75%,France,3, ,Sri Lanka,46.227638,2.213749
Bonnat,Chuao,81,2006,75%,France,4,Trinitario,Venezuela,46.227638,2.213749
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3.25,Forastero (Arriba),Ecuador,-1.831239,-78.18340599999999
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1.5,Forastero (Arriba),Ecuador,-1.831239,-78.18340599999999
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Trinitario,Belize,37.09024,-95.712891
Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75, ,Dominican Republic,37.09024,-95.712891
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.5,Criollo,Venezuela,37.09024,-95.712891
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75, ,Nicaragua,37.09024,-95.712891
Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75, ,Dominican Republic,37.09024,-95.712891
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize,37.09024,-95.712891
